stulinr;posnr;menge;artnr;artbez1
61.02.0126;145;1;10.10.0559;PH-Schrauben
61.02.0126;26;1;10.10.01434;6-kt-Schrauben
61.02.0126;40;1;10.10.01037;ZK-Schrauben I-6-kt.
61.02.0126;45;1;10.10.0107;6-kt-Schrauben
61.02.0126;48;1;10.10.0114;6-kt-Schrauben
61.02.0126;123;1;10.10.0043;6-kt-Muttern 0,8 d
61.02.0126;125;1;10.10.0944;U-Scheiben
61.02.0126;128;1;10.10.0945;U-Scheiben
61.02.0126;70;2;10.10.0637;Sicherungsringe für Bohrungen
61.02.0298;300;1;61.02.0199;Baugrp Seileinlauf
61.02.0199;10;7;10.10.0090;6-kt-Schrauben
61.02.0199;20;7;10.10.0942;U-Scheiben
61.02.0199;30;1;10.43.0023;Steckbolzen mit Axialsicherung, inox
61.02.0199;40;1;10.43.0010;Halteseil, rostfrei mit Lasche + Ring
61.02.0199;50;1;10.43.0008;Klemmhebel verstellbar
61.02.0199;60;8;10.60.0001;Sinterbronce-Zylinderlager
61.02.0199;70;4;61.02.0195;Rolle Seileinlauf
61.02.0199;80;4;61.02.0225;Achse Seileinlauf
61.02.0199;90;1;61.02.0189;Seileinlauf oben
61.02.0199;100;1;61.02.0194;Baugrp Seileinlauf geschw.
61.02.0194;10;1;61.02.0190;Grundblech
61.02.0194;20;1;61.02.0191;Winkel rechts
61.02.0194;30;1;61.02.0192;Winkel links
61.02.0199;15;1;10.10.01691;Gewindestifte mit Ringschneide
61.02.0199;25;1;10.10.0619;Sicherungsmuttern
61.02.0298;310;1;61.02.0182;Baugrp Hebeblech
61.02.0182;10;1;61.02.0183;Hebeblech
61.02.0182;20;2;61.02.0184;Auflage Hebeblech
61.02.0298;320;1;61.02.0228;Baugrp Verstellhebel Hebeblech
61.02.0228;10;1;61.02.0226;Verstellwelle
61.02.0228;20;1;61.02.0227;Verstellhebel
61.02.0298;330;1;61.02.0278;Baugrp Haspelbremse
61.02.0278;10;1;10.10.01349;Zylinderschraube mit Schlitz
61.02.0278;20;1;10.10.01499;Sicherungsmutter Poly-Stop
61.02.0278;30;2;10.10.0025;6-kt-Muttern
61.02.0278;40;1;10.10.0030;6-kt-Muttern 0,5 d
61.02.0278;50;4;10.10.00651;6-kt-Schrauben
61.02.0278;60;1;10.10.0150;6-kt-Schrauben
61.02.0278;70;1;10.10.0344;Gewindestifte mit Kegelkuppe
61.02.0278;80;8;10.10.0941;U-Scheiben
61.02.0278;90;1;10.30.0004;Kugelknopf DIN 319 Pr, Form C, 30mm, M8
61.02.0278;110;1;10.10.01212;Flache Kette Ø2.5
61.02.0278;120;1;10.39.0001;Zugfeder
61.02.0278;130;4;10.10.0612;Sicherungsmuttern
61.02.0278;140;2;61.02.0251;Seitenteil Haspelbremse
61.02.0251;10;1;61.02.0251-L;Seitenteil Haspelbremse
61.02.0278;150;1;61.03.0078;Baugrp Bremselement
61.03.0078;10;1;40.10.3065;Rohr
61.03.0078;20;1;40.10.2113;Segment
61.02.0278;160;1;61.03.0077;Baugrp Bremshebel
61.03.0077;20;1;40.10.7481;Federhalter
61.03.0077;10;1;61.03.0188;Bremshebel
61.03.0077;30;1;61.03.0189;Nabe Bremshebel
61.02.0278;100;1;12.51.0121;Haken zu Gummischnur 8mm
61.02.0298;340;1;61.02.0158;Baugrp Abstützung vorn
61.02.0158;10;1;61.02.0159;Hohlprofil
61.02.0158;20;1;61.02.0160;Stützplatte
61.02.0298;350;2;61.02.0161;Baugrp Abstützung
61.02.0161;10;1;61.02.0162;Hohlprofil
61.02.0161;20;1;61.02.0160;Stützplatte
61.02.0298;370;1;61.02.0203;Baugrp Deichsel geschweisst
61.02.0203;10;1;61.02.0222;Befestigungsrohr
61.02.0203;20;1;61.02.0223;Vertikalrohr
61.02.0203;30;1;61.02.0224;Deichselrohr
61.02.0298;520;1;50.41.0000;Typenschild Jost
61.02.0298;530;1;61.02.0163;Baugrp Hydrauliktank
61.02.0163;10;1;61.02.0164;Pumpenträger
61.02.0163;20;1;61.02.0165;Grundblech
61.02.0163;30;1;61.02.0166;Deckblech
61.02.0163;40;1;61.02.0167;Träger EM
61.02.0163;50;1;61.02.0168;Einschweissbuchse M8
61.02.0163;60;1;61.02.0169;Stutzen 1/2
61.02.0163;70;3;61.02.0170;Anschweissbuchse 3/4
61.02.0163;80;2;61.02.0172;Anschweissbuchse 3/8 lang
61.02.0163;90;1;61.02.0212;Träger BM
61.02.0298;540;1;61.02.0213;Baugrp Pumpenhebel
61.02.0213;10;1;10.10.01052;ZK-Schrauben I-6-kt.
61.02.0213;20;1;10.10.01380;Schweissmuttern DIN 929
61.02.0213;30;1;61.02.0214;Verstellrohr
61.02.0214;10;1;40.10.3190;Stahlrohr präz. nahtl. E235 (St 35)
61.02.0298;550;1;61.02.0173;Baugrp Pumpenanlenkung
61.02.0173;10;1;61.02.0174;Anschweisshebel
61.02.0174;10;1;40.11.1086;Rundstahl blank,  S355JR+C (St.52-3K)
61.02.0173;20;1;61.02.0175;Pumpenanlenkung
61.02.0298;560;1;61.02.0178;Baugrp Pumpenblech
61.02.0178;10;1;10.10.01538;Schweissmutter
61.02.0178;20;1;61.02.0179;Pumpenblech
61.02.0298;570;1;61.02.0220;Baugrp Hydraulikpumpe
61.02.0220;10;1;12.96.0001;Axialkolben-Verstellpumpe
