liefnr,majesty_name,majesty_name_norm,ifas_nummer,ifas_name,match_method,match_score,auto_accepted,wbz
83024,Meyer BlechTechnik AG Herzogenbuchsee,meyer blechtechnik herzogenbuchsee,001659,Meyer BlechTechnik AG Herzogenbuchsee,exact_norm,1.0,1,21
83047,Mitech AG,mitech,001352,Mitech AG,exact_norm,1.0,1,
83022,MMR-Metall AG,mmr metall,001124,MMR-Metall AG,exact_norm,1.0,1,
83042,MonoPan® Composites GmbH & Co. KG,monopan composites und,001309,MonoPan Composites GmbH & Co. KG,exact_norm,1.0,1,
83002,MOTOREX AG,motorex,001423,MOTOREX AG,exact_norm,1.0,1,
83048,Mouser Electronics,mouser electronics,001180,Mouser Electronics,exact_norm,1.0,1,21
83014,MTS Metallbaubeschläge AG,mts metallbaubeschlage,001989,MTS Metallbaubeschläge AG,exact_norm,1.0,1,
83049,Murrelektronik AG,murrelektronik,001181,Murrelektronik AG,exact_norm,1.0,1,
83005,Mädler Norm-Antrieb AG,madler norm antrieb,001066,MÄDLER Norm-Antrieb AG,exact_norm,1.0,1,14
84011,Nash Group GmbH,nash group,001743,NASH GROUP GmbH,exact_norm,1.0,1,
84008,Netztech Handels AG,netztech handels,001833,Netztech Handels AG,exact_norm,1.0,1,
84012,novaziun AG,novaziun,001085,novaziun AG,exact_norm,1.0,1,
85004,Okey AG,okey,001369,OKEY AG,exact_norm,1.0,1,
85008,OLWO AG,olwo,001353,OLWO AG,exact_norm,1.0,1,
85010,"OPO Oeschger AG, Beschläge und Werkzeuge",opo oeschger beschlage und werkzeuge,001182,OPO Oeschger AG,candidate,0.99,1,
85005,Ortlinghaus GmbH Gams,ortlinghaus gams,001371,Ortlinghaus GmbH Gams,exact_norm,1.0,1,21
86032,packstar GmbH,packstar,001561,Packstar GmbH,exact_norm,1.0,1,
86017,Pauli Aquatec,pauli aquatec,001838,PAULI AQUATEC GmbH,exact_norm,1.0,1,
86030,Peter Hefti AG,peter hefti,001564,Peter Hefti AG,exact_norm,1.0,1,
86004,Phoenix Contact AG,phoenix contact,001183,Phoenix Contact AG,exact_norm,1.0,1,21
86023,Plasticpadana system SRL,plasticpadana system srl,001504,plasticpadana system srl,exact_norm,1.0,1,
86024,Pneu Habegger AG,pneu habegger,001009,Pneu Habegger AG,exact_norm,1.0,1,
86008,Power Jet AG,power jet,001351,Power Jet AG,exact_norm,1.0,1,21
71048,Prematic AG,prematic,001036,Prematic AG,exact_norm,1.0,1,
86022,Profiblech AG,profiblech,001184,Profiblech AG,exact_norm,1.0,1,21
86031,Profilwerk AG,profilwerk,001126,Profilwerk AG,exact_norm,1.0,1,
86016,PWP SA,pwp,000956,PWP SA,exact_norm,1.0,1,14
88035,R.Aeberhardt AG,r aeberhardt,001185,R.Aeberhardt AG,exact_norm,1.0,1,
88024,Rajapack GmbH,rajapack,001032,Rajapack Schweiz GmbH,candidate,0.99,1,
88038,REAflon,reaflon,001186,REAflon,exact_norm,1.0,1,
88032,Reflo-Tec AG,reflo tec,001187,Reflo-Tec AG,exact_norm,1.0,1,
88033,Reichelt Elektronik GmbH & Co. KG,reichelt elektronik und,001188,Reichelt Elektronik GmbH & Co. KG,exact_norm,1.0,1,
88028,REMA - TIP TOP,rema tip top,001105,REMA TIP TOP Schweiz AG,candidate,0.99,1,
88020,Riesen Metallbau AG,riesen metallbau,001076,Riesen Metallbau AG,exact_norm,1.0,1,21,
88003,Ringspann AG,ringspann,001189,Ringspann AG,exact_norm,1.0,1,21,
88005,ROOSmechanik,roosmechanik,001072,ROOSmechanik,exact_norm,1.0,1,14
88034,RS Components GmbH,rs components,001788,RS Components GmbH,exact_norm,1.0,1,21
88039,Rubix Switzerland AG,rubix switzerland,001724,Rubix Switzerland AG,exact_norm,1.0,1,
88007,Rufenerkipper AG,rufenerkipper,001491,RUFENERKIPPER AG,exact_norm,1.0,1,90
89003,Sahli AG,sahli,001060,SAHLI AG,exact_norm,1.0,1,
89004,Salzmann Elektro GmbH,salzmann elektro,001429,Salzmann Elektro GmbH,exact_norm,1.0,1,
90018,Schneider Fahrzeug- und Containertechnik,schneider fahrzeug und containertechnik,000963,SCHNEIDER Fahrzeug- und Containertechnik GmbH,exact_norm,1.0,1,
